problem_statement,entailment,contradiction
Galaxy Luck a well known casino in the entire solar system introduces a new card game In this game there is a deck that consists of n cards Each card has m numbers written on it Each of the n players receives exactly one card from the deck Then all players play with each other in pairs and each pair of players plays exactly once Thus if there are for example four players in total then six games are played the first against the second the first against the third the first against the fourth the second against the third the second against the fourth and the third against the fourth Each of these games determines the winner in some way but the rules are quite complicated so we will not describe them here All that matters is how many chips are paid out to the winner Let the first player s card have the numbers a 1 a 2 dots a m and the second player s card b 1 b 2 dots b m Then the winner of the game gets a 1 b 1 a 2 b 2 dots a m b m chips from the total pot where x denotes the absolute value of x To determine the size of the total pot it is necessary to calculate the winners total winnings for all games Since there can be many cards in a deck and many players you have been assigned to write a program that does all the necessary calculations ,math,greedy
After playing with her beautiful array Mishka decided to learn some math After learning how to multiply divide and what is divisibility she is now interested in solving the following problem You are given integer and array of integers You are to find subsequence of array elements such that the product of its elements is divisible by and it contains minimum possible number of elements Formally you are to find a sequence of indices such that is divisible by while is minimum possible among all such variants If there are more than one such subsequences you should choose one among them such that sum of its elements is Mishka quickly solved this problem Will you do so ,dp,math
You are given a positive integer n Let s call some positive integer a without leading zeroes palindromic if it remains the same after reversing the order of its digits Find the number of distinct ways to express n as a sum of positive palindromic integers Two ways are considered different if the frequency of at least one palindromic integer is different in them For example 5 4 1 and 5 3 1 1 are considered different but 5 3 1 1 and 5 1 3 1 are considered the same Formally you need to find the number of distinct multisets of positive palindromic integers the sum of which is equal to n Since the answer can be quite large print it modulo 10 9 7 ,dp,data structures
Vladik was bored on his way home and decided to play the following game He took cards and put them in a row in front of himself Every card has a positive integer number not exceeding written on it He decided to find the longest subsequence of cards which satisfies the following conditions the number of occurrences of each number from to in the subsequence doesn t differ by more then from the number of occurrences of any other number Formally if there are cards with number on them in the subsequence than for all pairs of integers the condition must hold if there is at least one card with number on it in the subsequence then all cards with number in this subsequence must form a continuous segment in it For example the subsequence satisfies this condition while the subsequence doesn t Note that doesn t satisfy the first condition Please help Vladik to find the length of the longest subsequence that satisfies both conditions ,dp,math
You are given three positive i e strictly greater than zero integers x y and z Your task is to find positive integers a b and c such that x max a b y max a c and z max b c or determine that it is impossible to find such a b and c You have to answer t independent test cases Print required a b and c in any arbitrary order ,math,data structures
There are one cat k mice and one hole on a coordinate line The cat is located at the point 0 the hole is located at the point n All mice are located between the cat and the hole the i th mouse is located at the point x i 0 x i n At each point many mice can be located In one second the following happens First mouse moves to the right by 1 If the mouse reaches the hole it hides i e the mouse will not any more move to any point and will not be eaten by the cat Then the mouse has finished its move the cat moves to the right by 1 If at the new cat s position some mice are located the cat eats them they will not be able to move after that The actions are performed until any mouse hasn t been hidden or isn t eaten In other words the first move is made by a mouse If the mouse has reached the hole it s saved Then the cat makes a move The cat eats the mice located at the pointed the cat has reached if the cat has reached the hole it eats nobody Each second you can select a mouse that will make a move What is the maximum number of mice that can reach the hole without being eaten ,greedy,math
The array with integers is given Let s call the sequence of one or more consecutive elements in Also let s call the segment if it contains no more than different values Find any longest good segment As the input output can reach huge size it is recommended to use fast input output methods for example prefer to use instead of in C prefer to use instead of in ,data structures,math
The game is a one versus one game It has t rounds each round has two integers s i and e i which are determined and are known before the game begins s i and e i may differ from round to round The integer s i is written on the board at the beginning of the corresponding round The players will take turns Each player will erase the number on the board let s say it was a and will choose to write either 2 cdot a or a 1 instead Whoever writes a number strictly greater than e i loses that round and the other one wins that round Now Lee wants to play Critic against Ice Bear for each round he has chosen the round s s i and e i in advance Lee will start the first round the loser of each round will start the next round The winner of the last round is the winner of the game and the loser of the last round is the loser of the game Determine if Lee can be the winner independent of Ice Bear s moves or not Also determine if Lee can be the loser independent of Ice Bear s moves or not ,dp,math
You are given a four digit pin code consisting of digits from 0 to 9 that needs to be entered Initially the cursor points to the digit 1 In one second you can perform exactly one of the following two actions Press the cursor to display the current digit Move the cursor to any adjacent digit The image above shows the device you are using to enter the pin code For example for the digit 5 the adjacent digits are 4 and 6 and for the digit 0 there is only one adjacent digit 9 Determine the minimum number of seconds required to enter the given four digit pin code ,math,implementation
Marin and Gojou are playing hide and seek with an array Gojou initially performs the following steps First Gojou chooses 2 integers l and r such that l leq r Then Gojou makes an array a of length r l 1 which is a permutation of the array l l 1 ldots r Finally Gojou chooses a secret integer x and sets a i to a i oplus x for all i where oplus denotes the bitwise XOR operation Marin is then given the values of l r and the final array a She needs to find the secret integer x to win Can you help her Note that there may be multiple possible x that Gojou could have chosen Marin can find any possible x that could have resulted in the final value of a ,math,data structures
You are given an expression of the form a b where a and b are integers from 0 to 9 You have to evaluate it and print the result ,implementation,math
The of a sequence is defined as the number of unordered pairs of indexes i j here i lt j with same value a i a j For example the weight of sequence a 1 1 2 2 1 is 4 The set of unordered pairs of indexes with same value are 1 2 1 5 2 5 and 3 4 You are given a sequence a of n integers Print the sum of the weight of all subsegments of a A sequence b is a subsegment of a sequence a if b can be obtained from a by deletion of several possibly zero or all elements from the beginning and several possibly zero or all elements from the end ,math,data structures
All techniques in the ninja world consist of hand seals At the moment Naruto is learning a new technique which consists of n cdot m different seals denoted by distinct numbers All of them were written in an n times m table The table is lost now Naruto managed to remember elements of each row from left to right and elements of each column from top to bottom but he doesn t remember the order of rows and columns Please restore the table consistent with this data so that Naruto will be able to learn the new technique ,implementation,data structures
It s the year 5555 You have a graph and you want to find a long cycle and a huge independent set just because you can But for now let s just stick with finding either Given a connected graph with n vertices you can choose to either find an independent set that has lceil sqrt n rceil vertices find a cycle of length lceil sqrt n rceil An independent set is a set of vertices such that no two of them are connected by an edge A simple cycle is a cycle that doesn t contain any vertex twice I have a proof you can always solve one of these problems but it s too long to fit this margin ,greedy,data structures
Monocarp is a team leader in a massive IT company There are m projects his team of programmers has to complete numbered from 1 to m The i th project has a difficulty level b i There are n programmers in the team numbered from 1 to n The j th programmer has a stress tolerance level a j Monocarp wants to assign the programmers to the projects in such a way that each programmer is assigned to no more than one project each project has at least one programmer assigned to it let k programmers be assigned to the i th project then all the assigned programmers have to have a stress tolerance level greater than or equal to frac b i k Help Monocarp to find a valid assignment If there are multiple answers print any of them ,greedy,implementation
A set of positive integers S is called beautiful if for every two integers x and y from this set either x divides y or y divides x or both You are given two integers l and r Consider all beautiful sets consisting of integers not less than l and not greater than r You have to print two numbers the maximum possible size of a beautiful set where all elements are from l to r the number of beautiful sets consisting of integers from l to r with the maximum possible size Since the second number can be very large print it modulo 998244353 ,math,data structures
Pasha has a positive integer without leading zeroes Today he decided that the number is too small and he should make it larger Unfortunately the only operation Pasha can do is to swap two adjacent decimal digits of the integer Help Pasha count the maximum number he can get if he has the time to make at most swaps ,greedy,math
Kristina has a string s of length n consisting only of lowercase and uppercase Latin letters For each pair of lowercase letter and its matching uppercase letter Kristina can get 1 burl However pairs of characters cannot overlap so each character can only be in one pair For example if she has the string s aAaaBACacbE she can get a burl for the following character pairs s 1 a and s 2 A s 4 a and s 6 A s 5 B and s 10 b s 7 C and s 9 c Kristina wants to get more burles for her string so she is going to perform no more than k operations on it In one operation she can either select the lowercase character s i 1 le i le n and make it uppercase or select uppercase character s i 1 le i le n and make it lowercase For example when k 2 and s aAaaBACacbE it can perform one operation choose s 3 a and make it uppercase Then she will get another pair of s 3 A and s 8 a Find number of burles Kristina can get for her string ,greedy,data structures
The Department of economic development of IT City created a model of city development till year 2100 To prepare report about growth perspectives it is required to get growth estimates from the model To get the growth estimates it is required to solve a quadratic equation Since the Department of economic development of IT City creates realistic models only that quadratic equation has a solution moreover there are exactly two different real roots The greater of these roots corresponds to the optimistic scenario the smaller one corresponds to the pessimistic one Help to get these estimates first the optimistic then the pessimistic one ,math,implementation
Let bit x denote the number of ones in the binary representation of a non negative integer x A subarray of an array is called if it consists only of numbers with no more than k ones in their binary representation i e a subarray l r of array a is good if for any i such that l le i le r condition bit a i le k is satisfied You are given an array a of length n consisting of consecutive non negative integers starting from 0 i e a i i for 0 le i le n 1 in 0 based indexing You need to count the number of subarrays in this array As the answer can be very large output it modulo 10 9 7 ,dp,data structures
Petya and Vasya are tossing a coin Their friend Valera is appointed as a judge The game is very simple First Vasya tosses a coin times then Petya tosses a coin times If the tossing player gets head he scores one point If he gets tail nobody gets any points The winner is the player with most points by the end of the game If boys have the same number of points the game finishes with a draw At some point Valera lost his count and so he can not say exactly what the score is at the end of the game But there are things he remembers for sure He remembers that the entire game Vasya got heads at least times and Petya got heads at least times Moreover he knows that the winner of the game was Vasya Valera wants to use this information to know every possible outcome of the game which do not contradict his memories ,implementation,math
Paul and Mary have a favorite string s which consists of lowercase letters of the Latin alphabet They want to paint it using pieces of chalk of two colors red and green Let s call a coloring of a string wonderful if the following conditions are met each letter of the string is either painted in exactly one color red or green or isn t painted each two letters which are painted in the same color are different the number of letters painted in red is equal to the number of letters painted in green the number of painted letters of this coloring is among all colorings of the string which meet the first three conditions E g consider a string s equal to One of the wonderful colorings of the string is shown in the figure Paul and Mary want to learn by themselves how to find a wonderful coloring of the string But they are very young so they need a hint Help them find k the number of red or green these numbers are equal letters in a wonderful coloring ,greedy,math
You may have already known that a standard ICPC team consists of exactly three members The perfect team however has more restrictions A student can have some specialization coder or mathematician So the team is considered perfect if it includes at least one coder at least one mathematician and it consists of exactly three members You are a coach at a very large university and you know that c of your students are coders m are mathematicians and x have no specialization What is the maximum number of full perfect teams you can distribute them into Note that some students can be left without a team and each student can be a part of no more than one team You are also asked to answer q independent queries ,math,implementation
By the year 3018 Summer Informatics School has greatly grown Hotel Berendeetronik has been chosen as a location of the school The camp consists of n houses with n 1 pathways between them It is possible to reach every house from each other using the pathways Everything had been perfect until the rains started The weather forecast promises that rains will continue for m days A special squad of teachers was able to measure that the i th pathway connecting houses u i and v i before the rain could be passed in b i seconds Unfortunately the rain erodes the roads so with every day the time to pass the road will increase by a i seconds In other words on the t th from zero day after the start of the rain it will take a i cdot t b i seconds to pass through this road Unfortunately despite all the efforts of teachers even in the year 3018 not all the students are in their houses by midnight As by midnight all students have to go to bed it is important to find the maximal time between all the pairs of houses for each day so every student would know the time when he has to run to his house Find all the maximal times of paths between every pairs of houses after t 0 t 1 t m 1 days ,data structures,math
It s election time in Berland The favorites are of course parties of zublicanes and mumocrates The election campaigns of both parties include numerous demonstrations on main squares of the capital of Berland Each of the squares certainly can have demonstrations of only one party otherwise it could lead to riots On the other hand both parties have applied to host a huge number of demonstrations so that on all squares demonstrations must be held Now the capital management will distribute the area between the two parties Some pairs of squares are connected by bidirectional roads such that between any pair of squares there is a unique way to get from one square to another Some squares are on the outskirts of the capital meaning that they are connected by a road with only one other square such squares are called squares The mayor of the capital instructed to distribute all the squares between the parties so that the squares had the same number of demonstrations of the first and the second party It is guaranteed that the number of dead end squares of the city is even To prevent possible conflicts between the zublicanes and the mumocrates it was decided to minimize the number of roads connecting the squares with the distinct parties You as a developer of the department of distributing squares should determine this smallest number ,dp,math
Little Artem likes electronics He can spend lots of time making different schemas and looking for novelties in the nearest electronics store The new control element was delivered to the store recently and Artem immediately bought it That element can store information about the matrix of integers size There are inputs in that element i e each row and each column can get the signal When signal comes to the input corresponding to some row this row cyclically shifts to the left that is the first element of the row becomes last element second element becomes first and so on When signal comes to the input corresponding to some column that column shifts cyclically to the top that is first element of the column becomes last element second element becomes first and so on Rows are numbered with integers from to from top to bottom while columns are numbered with integers from to from left to right Artem wants to carefully study this element before using it For that purpose he is going to set up an experiment consisting of turns On each turn he either sends the signal to some input or checks what number is stored at some position of the matrix Artem has completed his experiment and has written down the results but he has lost the chip Help Artem find any initial matrix that will match the experiment results It is guaranteed that experiment data is consistent which means at least one valid matrix exists ,implementation,data structures
To celebrate his recovery k1o0n has baked an enormous n metres long potato casserole Turns out Noobish Monk just can t stand potatoes so he decided to ruin k1o0n s meal He has cut it into k pieces of lengths a 1 a 2 dots a k meters k1o0n wasn t keen on that Luckily everything can be fixed In order to do that k1o0n can do one of the following operations Pick a piece with length a i ge 2 and divide it into two pieces with lengths 1 and a i 1 As a result the number of pieces will increase by 1 Pick a slice a i and another slice with length a j 1 i ne j and merge them into one piece with length a i 1 As a result the number of pieces will decrease by 1 Help k1o0n to find the minimum number of operations he needs to do in order to merge the casserole into one piece with length n For example if n 5 k 2 and a 3 2 it is optimal to do the following Divide the piece with length 2 into two pieces with lengths 2 1 1 and 1 as a result a 3 1 1 Merge the piece with length 3 and the piece with length 1 as a result a 4 1 Merge the piece with length 4 and the piece with length 1 as a result a 5 ,math,data structures
Alice and Bob received n candies from their parents Now they want to divide all candies among themselves fairly so that the total weight of Alice s candies is equal to the total weight of Bob s candies Check if they can do that Note that candies ,math,data structures
There is an array a 1 a 2 ldots a n of n positive integers You should divide it into a minimal number of continuous segments such that in each segment there are no two numbers on different positions whose product is a perfect square Moreover it is allowed to do at most k such operations before the division choose a number in the array and change its value to any positive integer But in this version k 0 so it is not important What is the minimum number of continuous segments you should use if you will make changes optimally ,dp,implementation
Vasya has decided to build a zip line on trees of a nearby forest He wants the line to be as long as possible but he doesn t remember exactly the heights of all trees in the forest He is sure that he remembers correct heights of all trees except possibly one of them It is known that the forest consists of trees staying in a row numbered from left to right with integers from to According to Vasya the height of the th tree is equal to The zip line of length should hang over trees such that their heights form an increasing sequence that is Petya had been in this forest together with Vasya and he now has assumptions about the mistake in Vasya s sequence His th assumption consists of two integers and indicating that according to Petya the height of the tree numbered is actually equal to Note that Petya s assumptions are from each other Your task is to find the maximum length of a zip line that can be built over the trees under each of the assumptions In this problem the length of a zip line is considered equal to the number of trees that form this zip line ,data structures,math
You are an upcoming movie director and you have just released your first movie You have also launched a simple review site with two buttons to press upvote and downvote However the site is not so simple on the inside There are two servers each with its separate counts for the upvotes and the downvotes n reviewers enter the site one by one Each reviewer is one of the following types type 1 a reviewer has watched the movie and they like it they press the upvote button type 2 a reviewer has watched the movie and they dislike it they press the downvote button type 3 a reviewer hasn t watched the movie they look at the current number of upvotes and downvotes of the movie on the server they are in and decide what button to press If there are more downvotes than upvotes then a reviewer downvotes the movie Otherwise they upvote the movie Each reviewer votes on the movie exactly once Since you have two servers you can actually manipulate the votes so that your movie gets as many upvotes as possible When a reviewer enters a site you know their type and you can send them either to the first server or to the second one What is the maximum total number of upvotes you can gather over both servers if you decide which server to send each reviewer to ,greedy,math
Anton got bored during the hike and wanted to solve something He asked Kirill if he had any new problems and of course Kirill had one You are given a permutation p of size n and a number x that needs to be found A permutation of length n is an array consisting of n distinct integers from 1 to n in arbitrary order For example 2 3 1 5 4 is a permutation but 1 2 2 is not a permutation 2 appears twice in the array and 1 3 4 is also not a permutation n 3 but there is 4 in the array You decided that you are a cool programmer so you will use an advanced algorithm for the search binary search However you forgot that for binary search the array must be sorted You did not give up and decided to apply this algorithm anyway and in order to get the correct answer you can perform the following operation 2 times before running the algorithm choose the indices i j 1 le i j le n and swap the elements at positions i and j After that the binary search is performed At the beginning of the algorithm two variables l 1 and r n 1 are declared Then the following loop is executed If r l 1 end the loop m lfloor frac r l 2 rfloor If p m le x assign l m otherwise r m The goal is to rearrange the numbers in the permutation before the algorithm so that after the algorithm is executed p l is equal to x It can be shown that 2 operations are always sufficient ,greedy,implementation
You are given an array a of length 2 n You should process q queries on it Each query has one of the following 4 types Replace x k change a x to k Reverse k reverse each subarray i 1 cdot 2 k 1 i cdot 2 k for all i i ge 1 Swap k swap subarrays 2i 2 cdot 2 k 1 2i 1 cdot 2 k and 2i 1 cdot 2 k 1 2i cdot 2 k for all i i ge 1 Sum l r print the sum of the elements of subarray l r Write a program that can quickly process given queries ,data structures,math
A positive number x of length n in base p 2 le p le 10 9 is written on the blackboard The number x is given as a sequence a 1 a 2 dots a n 0 le a i p the digits of x in order from left to right most significant to least significant Dmitry is very fond of all the digits of this number system so he wants to see each of them at least once In one operation he can take any number x written on the board increase it by 1 and write the new value x 1 on the board For example p 5 and x 234 5 Initially the board contains the digits 2 3 and 4 Dmitry increases the number 234 5 by 1 and writes down the number 240 5 On the board there are digits 0 2 3 4 Dmitry increases the number 240 5 by 1 and writes down the number 241 5 Now the board contains all the digits from 0 to 4 Your task is to determine the minimum number of operations required to make all the digits from 0 to p 1 appear on the board at least once ,math,implementation
Slime and his n friends are at a party Slime has designed a game for his friends to play At the beginning of the game the i th player has a i biscuits At each second Slime will choose a biscuit randomly uniformly among all a 1 a 2 ldots a n biscuits and the owner of this biscuit will give it to a random uniform player among n 1 players except himself The game stops when one person will have all the biscuits As the host of the party Slime wants to know the expected value of the time that the game will last to hold the next activity on time For convenience as the answer can be represented as a rational number frac p q for coprime p and q you need to find the value of p cdot q 1 mod 998 244 353 You can prove that q mod 998 244 353 neq 0 ,math,greedy
